"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Brevoortia","Brevoortia tyrannus",158691,"Marine-Brackish","Brevoortia tyrannus"
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea harengus",126417,"Marine-Brackish","Clupea harengus"
"Animalia","Chordata","Teleostei","Clupeiformes","Clupeidae","Clupea","Clupea pallasii",151159,"Marine-Freshwater-Brackish","Clupea pallasii"
"Animalia","Chordata","Teleostei","Clupeiformes","Dorosomatidae","Dorosoma","Dorosoma cepedianum",159600,"Marine-Freshwater-Brackish","Dorosoma cepedianum"
"Animalia","Chordata","Teleostei","Clupeiformes","Dussumieriidae","Etrumeus","Etrumeus sadina",584793,"Marine","Etrumeus teres"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Sardinops","Sardinops sagax",217452,"Marine","Sardinops sagax"
"Animalia","Chordata","Teleostei","Clupeiformes","Dussumieriidae","Etrumeus","Etrumeus sadina",584793,"Marine","Etrumeus sadina"
"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Anchoa","Anchoa hepsetus",158698,"Marine-Brackish","Anchoa hepsetus"
"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli",158699,"Marine-Freshwater-Brackish","Anchoa mitchilli"
"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Engraulis","Engraulis eurystole",158702,"Marine","Engraulis eurystole"
"Animalia","Chordata","Teleostei","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax",272286,"Marine","Engraulis mordax"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Carpiodes","Carpiodes cyprinus",1022879,"Freshwater","Carpiodes cyprinus"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus catostomus",158706,"Freshwater-Brackish","Catostomus catostomus"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus columbianus",592847,"Freshwater","Catostomus columbianus"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus commersonii",158707,"Freshwater-Brackish","Catostomus commersonii"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus macrocheilus",567524,"Freshwater","Catostomus macrocheilus"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Catostomus","Catostomus platyrhynchus",592848,"Freshwater","Catostomus platyrhynchus"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Erimyzon","Erimyzon sucetta",159991,"Freshwater","Erimyzon sucetta"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Hypentelium","Hypentelium nigricans",1022874,"Freshwater","Hypentelium nigricans"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Ictiobus","Ictiobus cyprinellus",1044802,"Freshwater","Ictiobus cyprinellus"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Ictiobus","Ictiobus niger",1022850,"Freshwater","Ictiobus niger"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Minytrema","Minytrema melanops",1022836,"Freshwater","Minytrema melanops"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma carinatum",1421422,"Freshwater","Moxostoma carinatum"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma duquesnei",1022878,"Freshwater","Moxostoma duquesnei"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma erythrurum",1022856,"Freshwater","Moxostoma erythrurum"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma hubbsi",1014131,"Freshwater","Moxostoma hubbsi"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma macrolepidotum",593217,"Freshwater-Brackish","Moxostoma macrolepidotum"
"Animalia","Chordata","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma valenciennesi",1015875,"Freshwater","Moxostoma valenciennesi"
"Animalia","Chordata","Teleostei","Cypriniformes","Cobitidae","Misgurnus","Misgurnus anguillicaudatus",991279,"Freshwater-Brackish","Misgurnus anguillicaudatus"
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Acrocheilus","Acrocheilus alutaceus",592842,"Freshwater","Acrocheilus alutaceus"
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Campostoma","Campostoma anomalum",1022825,"Freshwater","Campostoma anomalum"
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Carassius","Carassius auratus",154298,"Freshwater-Brackish","Carassius auratus"
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Clinostomus","Clinostomus elongatus",1020946,"Freshwater","Clinostomus elongatus"
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Couesius","Couesius plumbeus",567529,"Freshwater","Couesius plumbeus"
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Ctenopharyngodon","Ctenopharyngodon idella",154314,"Freshwater-Brackish","Ctenopharyngodon idella"
"Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Cyprinella","Cyprinella spiloptera",1020798,"Freshwater","Cyprinella spiloptera"
