"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input","dist","ocean","source","domain","inCanada"
"Animalia","Chordata","Teleostei","Zeiformes","Oreosomatidae","Allocyttus","Allocyttus folletti",254555,"Marine","Allocyttus folletti",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Zeiformes","Oreosomatidae","Allocyttus","Allocyttus verrucosus",127422,"Marine","Allocyttus verrucosus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Osmeriformes","Osmeridae","Allosmerus","Allosmerus elongatus",279564,"Marine","Allosmerus elongatus",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa aestivalis",158667,"Marine-Freshwater-Brackish","Alosa aestivalis",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa fallax",126415,"Marine-Freshwater-Brackish","Alosa fallax",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa mediocris",158668,"Marine-Freshwater-Brackish","Alosa mediocris",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa pseudoharengus",158669,"Marine-Freshwater-Brackish","Alosa pseudoharengus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Clupeiformes","Alosidae","Alosa","Alosa sapidissima",158670,"Marine-Freshwater-Brackish","Alosa sapidissima",0,"Atlantic-Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus schoepfii",159490,"Marine","Aluterus schoepfii",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Tetraodontiformes","Monacanthidae","Aluterus","Aluterus scriptus",159491,"Marine","Aluterus scriptus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes americanus",159587,"Marine-Brackish","Ammodytes americanus",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes dubius",151520,"Marine","Ammodytes dubius",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes hexapterus",254510,"Marine-Brackish","Ammodytes hexapterus",0,"Atlantic-Arctic-Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Ammodytidae","Ammodytes","Ammodytes personatus",272967,"Marine","Ammodytes personatus",0,"Pacific","Org_CanFish","eez focused","inside"
